Year,Month,Day,Diff_11Year,Sunspot_lag1,Sunspot_lag132,Sunspot_lag12,Diff_1Year,Month_sin,Month_cos,Year_sin,Year_cos,RollMean_11year,RollStd_11year,Gerçek_Sunspot,Tahmin_Sunspot,Hata
1848,8,31,-2.5999999999999943,232.0,223.5,234.3,-11.099999999999994,-0.8660254037844385,-0.5000000000000004,-9.064862236236767e-15,1.0,100.10075757575756,69.26391776939288,220.9,220.2785202933854,0.6214797066145934
1787,1,31,188.3,187.8,36.2,62.0,36.69999999999999,0.4999999999999999,0.8660254037844387,0.2817325568414301,-0.9594929736144971,111.10530303030303,83.44602983562082,224.5,234.11482082425783,-9.614820824257833
1975,12,31,-10.500000000000002,27.9,22.1,29.6,-16.299999999999997,-2.4492935982947064e-16,1.0,-0.2817325568414232,-0.9594929736144991,89.70454545454545,51.23506650966549,11.6,10.291290475883264,1.3087095241167361
1919,11,30,-81.0,88.0,150.9,139.0,-18.099999999999994,-0.5000000000000004,0.8660254037844384,0.2817325568414312,-0.9594929736144968,68.11515151515152,59.35509841294552,69.9,68.38380936641616,1.5161906335838466
1904,9,30,-91.1,97.1,141.3,18.5,-46.89999999999999,-1.0,-1.8369701987210294e-16,0.5406408174555917,0.841253532831185,56.54015151515152,47.05129223241606,50.2,50.63500941319654,-0.4350094131965392
1858,9,30,65.1,104.9,87.1,80.6,47.29999999999998,-1.0,-1.8369701987210294e-16,-0.5406408174556021,0.8412535328311782,99.30984848484847,72.78890409090869,152.2,160.94395806510704,-8.743958065107051
1920,7,31,-8.0,64.6,53.7,107.8,-18.89999999999999,-0.4999999999999997,-0.8660254037844388,-0.2817325568414312,-0.9594929736144968,67.08030303030303,59.14307072831642,45.7,45.266899340018455,0.4331006599815481
2005,3,31,-7.899999999999999,43.5,47.5,74.8,-3.899999999999999,1.0,6.123233995736766e-17,0.989821441880934,-0.1423148382732752,91.09696969696972,63.68547588010495,39.6,42.640943581722645,-3.040943581722644
2002,9,30,19.0,175.6,168.9,238.2,12.300000000000011,-1.0,-1.8369701987210294e-16,8.822408798953651e-15,1.0,96.66893939393938,66.61228382301914,187.9,188.81678161130424,-0.9167816113042306
1875,7,31,-89.0,39.9,109.9,113.2,-19.0,-0.4999999999999997,-0.8660254037844388,0.2817325568414303,-0.9594929736144971,101.98636363636363,72.19843073375202,20.9,18.14357780049653,2.7564221995034686
1855,7,31,-34.5,10.0,35.2,35.5,-9.3,-0.4999999999999997,-0.8660254037844388,-0.7557495743542577,-0.6548607339452857,110.06439393939394,65.53677614800846,0.7,2.895028816938464,-2.195028816938464
1952,3,31,-46.0,32.4,77.5,79.3,-0.8999999999999986,1.0,6.123233995736766e-17,0.2817325568414388,-0.9594929736144948,108.1689393939394,74.16255627380312,31.5,33.931271321267424,-2.431271321267424
1876,4,30,-71.1,51.1,75.0,48.6,-47.2,0.8660254037844387,-0.4999999999999998,-0.2817325568414321,-0.9594929736144968,97.95303030303032,74.75167790441763,3.9,16.8439813351026,-12.9439813351026
1878,2,28,9.6,5.5,1.4,14.5,5.5,0.8660254037844386,0.5000000000000001,-0.989821441880932,-0.1423148382732903,94.62878787878788,77.39860595062227,11.0,10.285542695644386,0.7144573043556139
1965,10,31,18.6,24.5,10.5,9.2,4.600000000000001,-0.8660254037844386,0.5000000000000001,-0.7557495743542515,-0.6548607339452929,124.8878787878788,100.05995685816836,29.1,29.759358438213564,-0.6593584382135624
1780,8,31,-54.39999999999998,143.3,197.7,186.7,0.0,-0.8660254037844385,-0.5000000000000004,-0.9096319953545184,0.4154150130018866,126.03863636363636,85.03171087667737,143.3,138.6818095402338,4.618190459766225
1987,4,30,18.7,17.4,27.3,22.4,28.6,0.8660254037844387,-0.4999999999999998,-0.7557495743542512,-0.6548607339452933,106.9280303030303,83.4510738540159,46.0,44.920481592503904,1.0795184074960957
1946,10,31,81.8,157.4,88.7,114.5,13.099999999999994,-0.8660254037844386,0.5000000000000001,-0.5406408174556098,0.8412535328311733,103.01060606060604,64.84740780375523,170.5,172.22976450896218,-1.7297645089621767
1917,6,30,84.0,190.2,107.4,112.9,1.200000000000017,1.2246467991473532e-16,-1.0,0.989821441880934,-0.1423148382732772,58.406060606060606,48.054334320205925,191.4,197.23638687824345,-5.836386878243445
1924,6,30,38.4,34.6,1.6,15.3,5.399999999999999,1.2246467991473532e-16,-1.0,-0.5406408174556093,0.8412535328311735,68.50984848484848,57.49739836112129,40.0,38.39992124967946,1.6000787503205416
1833,7,31,-110.9,1.7,122.5,23.3,9.9,-0.4999999999999997,-0.8660254037844388,-0.755749574354258,-0.6548607339452853,100.06742424242424,80.04656230486282,11.6,12.664991860943712,-1.064991860943712
1924,9,30,39.9,32.1,2.0,22.1,9.799999999999995,-1.0,-1.8369701987210294e-16,-0.5406408174556093,0.8412535328311735,69.38560606060607,56.76467444208042,41.9,42.33796302622946,-0.43796302622946115
1978,1,31,-83.3,61.4,157.0,23.8,12.300000000000004,0.4999999999999999,0.8660254037844387,-0.9096319953545232,0.4154150130018761,86.27045454545454,52.97345977952738,73.7,73.47366078249132,0.2263392175086807
1890,5,31,3.9,2.7,4.0,4.0,5.2,0.4999999999999999,-0.8660254037844387,-0.9096319953545222,0.4154150130018779,58.08712121212121,44.36220522830226,7.9,6.667323957682573,1.2326760423174274
1900,11,30,7.2,21.6,0.3,13.0,-14.1,-0.5000000000000004,0.8660254037844384,-0.989821441880932,-0.1423148382732907,69.64318181818182,49.55000126047674,7.5,9.160846512782774,-1.6608465127827738
1880,3,31,-69.5,45.4,101.6,0.9,-13.299999999999995,1.0,6.123233995736766e-17,-0.5406408174556085,0.8412535328311741,89.11439393939393,80.76193375535715,32.1,31.66784067646384,0.4321593235361618
1980,12,31,108.3,209.5,138.6,249.6,37.400000000000006,-2.4492935982947064e-16,1.0,9.312267518612591e-15,1.0,99.45,72.99013579699759,246.9,246.511303684086,0.388696315914018
1884,7,31,8.5,85.3,80.0,134.4,3.200000000000003,-0.4999999999999997,-0.8660254037844388,0.9898214418809328,-0.1423148382732849,57.44015151515152,43.60923961879556,88.5,87.97065131043107,0.5293486895689341
1896,12,31,34.7,63.3,36.3,117.9,7.700000000000003,-2.4492935982947064e-16,1.0,0.7557495743542612,-0.6548607339452818,66.05757575757576,52.57506900709762,71.0,70.32428093246952,0.6757190675304798
1900,7,31,-1.9000000000000004,20.1,15.8,22.5,-6.200000000000001,-0.4999999999999997,-0.8660254037844388,-0.989821441880932,-0.1423148382732907,69.63409090909092,49.60448119000005,13.9,13.619865057279053,0.28013494272094697
1879,6,30,-53.1,4.0,61.1,0.2,4.0,1.2246467991473532e-16,-1.0,-0.9096319953545192,0.4154150130018846,92.77954545454546,79.11484621355758,8.0,7.60421865370839,0.39578134629161
1906,9,30,-19.0,79.6,112.5,91.8,13.900000000000006,-1.0,-1.8369701987210294e-16,0.9898214418809328,-0.1423148382732844,50.56969696969697,38.40334340445222,93.5,92.91040573138302,0.5895942686169775
1776,1,31,-6.599999999999994,13.2,42.8,20.3,23.000000000000004,0.4999999999999999,0.8660254037844387,0.2817325568414299,-0.9594929736144974,86.23939393939393,64.78000676108148,36.2,33.889133683864905,2.3108663161350975
1993,9,30,-136.20000000000002,62.5,167.4,94.0,-31.3,-1.0,-1.8369701987210294e-16,0.909631995354522,0.4154150130018788,107.19848484848484,75.56852911832192,31.2,30.130850574399403,1.069149425600596
1838,11,30,-64.10000000000002,151.5,193.3,178.4,-22.30000000000001,-0.5000000000000004,0.8660254037844384,0.5406408174555929,0.8412535328311842,136.46439393939394,89.0932662807715,129.2,124.83363409340144,4.366365906598546
1968,7,31,-128.90000000000003,156.2,265.1,129.5,-20.0,-0.4999999999999997,-0.8660254037844388,-0.5406408174555982,0.8412535328311808,115.30075757575756,90.97640118151968,136.2,135.6323773850264,0.567622614973601
1931,8,31,-10.299999999999995,29.0,31.9,41.5,-7.399999999999999,-0.8660254037844385,-0.5000000000000004,-0.2817325568414242,-0.959492973614499,67.60757575757576,45.68022376185498,21.6,19.788421593607,1.811578406393
1965,6,30,22.9,34.5,0.4,13.5,-11.2,1.2246467991473532e-16,-1.0,-0.7557495743542515,-0.6548607339452929,124.49772727272725,100.48808555399376,23.3,24.893701409594076,-1.5937014095940754
1774,11,30,-72.0,23.3,101.5,68.2,6.199999999999999,-0.5000000000000004,0.8660254037844384,0.9898214418809328,-0.1423148382732847,91.0310606060606,61.3232545365796,29.5,28.51238162139876,0.9876183786012405
1963,8,31,-30.3,28.7,77.8,31.5,18.8,-0.8660254037844385,-0.5000000000000004,0.2817325568414321,-0.9594929736144968,124.07727272727271,100.99822656663072,47.5,51.05205417146066,-3.552054171460661
1971,9,30,-108.8,87.0,180.1,140.8,-15.700000000000005,-1.0,-1.8369701987210294e-16,0.909631995354516,0.4154150130018912,86.85303030303031,52.77616921062682,71.3,70.77885152931515,0.5211484706848495
1840,1,31,-94.6,106.2,230.0,175.9,29.200000000000003,0.4999999999999999,0.8660254037844387,0.9898214418809326,-0.1423148382732859,128.30833333333334,84.72177369282964,135.4,131.7420425593373,3.657957440662699
1856,11,30,-34.599999999999994,8.5,49.3,18.3,6.199999999999999,-0.5000000000000004,0.8660254037844384,-0.989821441880932,-0.1423148382732898,105.61969696969696,70.31122030423623,14.7,14.418346625604853,0.28165337439514637
2013,7,31,-42.60000000000001,76.7,128.8,100.1,9.5,-0.4999999999999997,-0.8660254037844388,-1.2738802633678828e-14,1.0,52.571969696969695,43.92763708540975,86.2,84.2584591235658,1.9415408764342033
1937,3,31,35.499999999999986,214.1,104.2,128.4,-74.4,1.0,6.123233995736766e-17,0.540640817455597,0.8412535328311815,73.5659090909091,53.77384765416784,139.7,127.92231889208912,11.777681107910865
1832,4,30,-113.5,91.9,158.3,90.9,-47.10000000000001,0.8660254037844387,-0.4999999999999998,-0.2817325568414263,-0.9594929736144984,112.73863636363636,76.17269415959295,44.8,45.70515792375585,-0.9051579237558514
1937,8,31,126.8,241.8,102.7,145.0,-12.300000000000011,-0.8660254037844385,-0.5000000000000004,0.540640817455597,0.8412535328311815,77.97121212121213,59.97702044721503,229.5,226.86017690547482,2.639823094525184
1956,3,31,131.79999999999998,175.6,35.9,7.3,-7.900000000000006,1.0,6.123233995736766e-17,-0.9096319953545228,0.4154150130018765,107.34772727272728,76.68466955274448,167.7,166.96216026641372,0.7378397335862701
1957,1,31,154.39999999999998,272.0,79.3,104.1,-38.30000000000001,0.4999999999999999,0.8660254037844387,-0.540640817455604,0.8412535328311771,119.02348484848486,81.65535828011994,233.7,237.6379097154995,-3.937909715499501
1907,1,31,31.30000000000001,108.0,96.1,75.8,19.40000000000001,0.4999999999999999,0.8660254037844387,0.7557495743542566,-0.654860733945287,49.96439393939394,38.20749323528738,127.4,126.92314277669297,0.47685722330703584
1937,4,30,118.0,139.7,64.2,124.8,42.5,0.8660254037844387,-0.4999999999999998,0.540640817455597,0.8412535328311815,74.45984848484848,54.59156166072753,182.2,177.07581542629944,5.124184573700546
1848,6,30,-48.49999999999997,170.5,263.4,142.2,44.400000000000006,1.2246467991473532e-16,-1.0,-9.064862236236767e-15,1.0,100.41742424242425,69.94929733667801,214.9,207.26025568535707,7.63974431464294
1898,11,30,40.1,57.1,11.5,14.0,-5.5,-0.5000000000000004,0.8660254037844384,-0.2817325568414317,-0.9594929736144968,68.35606060606061,50.964378006447554,51.6,50.201710355921065,1.398289644078936
1923,1,31,3.0,29.0,4.5,19.7,-21.5,0.4999999999999999,0.8660254037844387,-0.9096319953545196,0.4154150130018837,67.59621212121213,58.31164680817522,7.5,7.39270575062231,0.10729424937768961
1925,1,31,4.4,27.5,4.7,0.8,-18.4,0.4999999999999999,0.8660254037844387,-1.077936775504306e-14,1.0,70.13787878787878,56.096089221981046,9.1,8.393826412938878,0.7061735870611212
1952,11,30,-32.2,34.2,64.0,74.2,-2.400000000000002,-0.5000000000000004,0.8660254037844384,0.2817325568414388,-0.9594929736144948,105.91060606060606,75.31455589327265,31.8,32.60007759534914,-0.8000775953491406
2001,11,30,-2.200000000000017,194.1,178.8,158.1,-17.5,-0.5000000000000004,0.8660254037844384,-0.5406408174555929,0.8412535328311842,99.13712121212122,70.09583451302098,176.6,175.46606178782795,1.1339382121720405
1934,7,31,9.4,11.2,5.9,4.7,4.100000000000001,-0.4999999999999997,-0.8660254037844388,-0.9096319953545228,0.415415013001877,63.44848484848485,48.22918327967193,15.3,17.275134244672525,-1.9751342446725246
1900,4,30,19.5,14.4,7.3,23.6,12.4,0.8660254037844387,-0.4999999999999998,-0.989821441880932,-0.1423148382732907,69.41666666666667,49.84517428489026,26.8,27.29229688865095,-0.492296888650948
1979,3,31,64.80000000000001,194.7,130.5,108.4,0.6000000000000227,1.0,6.123233995736766e-17,-0.5406408174555924,0.8412535328311844,88.01893939393939,55.97952069996533,195.3,195.9686103229716,-0.6686103229716025
1919,1,31,-28.89999999999999,98.5,109.1,160.0,-18.3,0.4999999999999999,0.8660254037844387,0.2817325568414312,-0.9594929736144968,65.67954545454545,57.91632518950011,80.2,83.30880944474713,-3.1088094447471235
2003,2,28,-155.0,133.5,230.7,170.2,-57.8,0.8660254037844386,0.5000000000000001,0.5406408174556077,0.8412535328311747,93.97727272727272,63.80819492095126,75.7,72.79193446228628,2.908065537713725
1878,4,30,-9.5,13.1,9.7,26.3,-12.9,0.8660254037844387,-0.4999999999999998,-0.989821441880932,-0.1423148382732903,94.52424242424244,77.51613485942032,0.2,2.119238520935803,-1.9192385209358032
1782,7,31,-137.5,63.3,199.2,122.5,-1.5999999999999943,-0.4999999999999997,-0.8660254037844388,-2.266215559059192e-15,1.0,113.94621212121211,80.12830303565967,61.7,60.962246059572735,0.7377539404272682
1962,9,30,-45.0,31.5,117.7,90.1,41.2,-1.0,-1.8369701987210294e-16,0.755749574354262,-0.6548607339452807,125.20227272727271,100.18798244727948,72.7,77.38111103277821,-4.681111032778205
1990,10,31,-64.20000000000002,169.1,263.6,212.2,30.30000000000001,-0.8660254037844386,0.5000000000000001,-0.5406408174555987,0.8412535328311805,121.5969696969697,83.01628915794998,199.4,199.2094690012757,0.1905309987243129
1952,9,30,-69.4,77.8,109.8,117.7,-37.4,-1.0,-1.8369701987210294e-16,0.2817325568414388,-0.9594929736144948,106.48030303030303,74.90310019103411,40.4,38.147266351608195,2.2527336483918035
1853,8,31,51.4,87.2,44.4,75.3,8.599999999999994,-0.8660254037844385,-0.5000000000000004,0.2817325568414366,-0.9594929736144954,108.0651515151515,67.8041127632422,95.8,98.86951515541932,-3.0695151554193245
2015,3,31,-20.099999999999994,66.7,74.6,128.7,-12.200000000000005,1.0,6.123233995736766e-17,0.9096319953545158,0.4154150130018921,51.01515151515152,40.40252521177744,54.5,55.27793997297191,-0.7779399729719074
1779,2,28,187.0,191.2,89.2,182.2,85.0,0.8660254037844386,0.5000000000000001,-0.9898214418809326,-0.1423148382732863,118.60909090909092,82.16362232006955,276.2,294.41328225040826,-18.21328225040827
1843,1,31,-29.3,29.3,51.5,34.0,-7.100000000000001,0.4999999999999999,0.8660254037844387,-0.2817325568414329,-0.9594929736144964,102.85303030303032,79.6216985264906,22.2,21.54425263568106,0.6557473643189375
1950,2,28,5.300000000000011,143.9,129.0,258.0,-9.599999999999994,0.8660254037844386,0.5000000000000001,0.989821441880933,-0.1423148382732835,113.0560606060606,74.45472035295013,134.3,132.6780323698047,1.6219676301953143
1987,6,30,0.9000000000000021,39.1,17.9,0.6,-20.3,1.2246467991473532e-16,-1.0,-0.7557495743542512,-0.6548607339452933,107.09318181818182,83.29381655814363,18.8,17.525143351444953,1.2748566485550477
1901,3,31,-1.0999999999999996,4.0,8.5,14.4,3.4000000000000004,1.0,6.123233995736766e-17,-0.9096319953545194,0.4154150130018841,69.51212121212122,49.71934673485677,7.4,7.082538282451713,0.3174617175482872
1929,11,30,-3.9000000000000057,90.1,139.0,83.9,45.0,-0.5000000000000004,0.8660254037844384,0.7557495743542569,-0.6548607339452867,72.72272727272727,46.50217197736112,135.1,132.0508778679883,3.0491221320116892
1833,4,30,-109.2,19.6,113.8,44.8,-15.000000000000002,0.8660254037844387,-0.4999999999999998,-0.755749574354258,-0.6548607339452853,103.2871212121212,79.32497600127921,4.6,4.9752300249091785,-0.3752300249091789
1899,7,31,17.5,34.1,5.0,15.0,-11.6,-0.4999999999999997,-0.8660254037844388,-0.7557495743542524,-0.6548607339452918,68.92121212121212,50.39765236005575,22.5,23.82486429804158,-1.3248642980415788
2005,10,31,-53.89999999999999,37.2,67.1,74.2,-24.000000000000004,-0.8660254037844386,0.5000000000000001,0.989821441880934,-0.1423148382732752,91.40984848484848,63.507571057758746,13.2,14.091171378973902,-0.8911713789739029
1892,12,31,52.2,108.9,78.8,54.3,22.099999999999994,-2.4492935982947064e-16,1.0,-2.939152317953648e-15,1.0,61.49242424242424,47.435654482842125,131.0,128.36462048464932,2.635379515350678
1882,11,30,6.699999999999989,98.6,133.9,91.5,42.0,-0.5000000000000004,0.8660254037844384,0.540640817455592,0.8412535328311848,65.05833333333334,54.81041724364432,140.6,149.19687994079214,-8.59687994079215
1975,3,31,-7.200000000000003,16.7,24.1,30.9,0.1999999999999993,1.0,6.123233995736766e-17,-0.2817325568414232,-0.9594929736144991,88.95227272727271,52.14958295546465,16.9,14.25023391856886,2.649766081431139
2003,4,30,-44.29999999999998,100.7,142.2,186.9,-2.799999999999997,0.8660254037844387,-0.4999999999999998,0.5406408174556077,0.8412535328311747,93.26060606060604,63.47328554798357,97.9,97.99046465747467,-0.09046465747466925
1958,4,30,65.50000000000003,270.0,212.1,248.0,7.600000000000023,0.8660254037844387,-0.4999999999999998,9.802126238271532e-15,1.0,130.6939393939394,95.09638722765476,277.6,276.62496504164716,0.9750349583528646
1923,6,30,7.700000000000001,5.3,7.6,9.8,10.0,1.2246467991473532e-16,-1.0,-0.9096319953545196,0.4154150130018837,67.68636363636364,58.22026584115572,15.3,16.47400134894146,-1.1740013489414594
1882,6,30,-195.5,106.9,270.9,100.8,-31.5,1.2246467991473532e-16,-1.0,0.540640817455592,0.8412535328311848,68.13712121212122,58.85862399963344,75.4,79.8180715589258,-4.418071558925789
1774,12,31,-82.0,29.5,102.3,72.0,-9.2,-2.4492935982947064e-16,1.0,0.9898214418809328,-0.1423148382732847,90.40984848484848,61.622830680240334,20.3,20.2583803938043,0.041619606195702374
2004,12,31,-39.50000000000001,70.1,68.4,72.2,-41.2,-2.4492935982947064e-16,1.0,0.9096319953545128,0.4154150130018984,91.52196969696968,63.47292181493053,28.9,33.34562888180388,-4.445628881803884
1915,6,30,52.8,55.1,61.9,19.1,59.6,1.2246467991473532e-16,-1.0,0.5406408174555974,0.8412535328311813,55.39848484848485,44.54885642049416,114.7,117.08590479009212,-2.3859047900921126
1880,2,29,-67.4,40.1,112.8,1.6,5.299999999999997,0.8660254037844386,0.5000000000000001,-0.5406408174556085,0.8412535328311741,89.64090909090909,80.61381121089532,45.4,41.863475060454114,3.5365249395458846
1850,6,30,41.8,117.0,91.2,154.2,16.0,1.2246467991473532e-16,-1.0,0.9096319953545172,0.4154150130018888,102.11060606060606,71.64929564233069,133.0,136.49150634432416,-3.491506344324165
1850,12,31,9.700000000000005,104.1,106.2,184.3,11.800000000000011,-2.4492935982947064e-16,1.0,0.9096319953545172,0.4154150130018888,100.26439393939394,70.23335708708147,115.9,113.88089418966972,2.019105810330288
1847,7,31,-107.5,142.2,194.6,77.5,-55.1,-0.4999999999999997,-0.8660254037844388,-0.5406408174556019,0.8412535328311784,101.99621212121212,73.58718504152982,87.1,76.56099891647965,10.539001083520347
1851,1,31,8.099999999999994,115.9,135.4,148.2,27.599999999999994,0.4999999999999999,0.8660254037844387,0.9898214418809328,-0.1423148382732857,100.32575757575758,70.26781985415012,143.5,137.98690409827705,5.513095901722949
2018,3,31,-15.9,10.7,18.4,17.7,-8.2,1.0,6.123233995736766e-17,0.2817325568414265,-0.9594929736144984,49.81969696969697,40.99706271249813,2.5,4.402767528836859,-1.9027675288368586
1971,11,30,-37.400000000000006,73.4,126.9,134.8,16.099999999999994,-0.5000000000000004,0.8660254037844384,0.909631995354516,0.4154150130018912,86.23712121212121,52.60283190545701,89.5,87.74474568580729,1.7552543141927117
1832,2,29,-70.70000000000002,51.5,163.3,83.6,41.1,0.8660254037844386,0.5000000000000001,-0.2817325568414263,-0.9594929736144984,114.13939393939394,76.138783245687,92.6,93.04370795790479,-0.4437079579047918
1968,10,31,-206.9,166.0,359.4,125.0,-13.5,-0.8660254037844386,0.5000000000000001,-0.5406408174555982,0.8412535328311808,111.93863636363636,86.01022986176949,152.5,155.89026163999253,-3.3902616399925307
1975,1,31,4.699999999999999,29.6,22.6,39.4,-2.3000000000000007,0.4999999999999999,0.8660254037844387,-0.2817325568414232,-0.9594929736144991,89.0719696969697,51.99151914751358,27.3,26.98599459907551,0.3140054009244899
1987,11,30,40.9,63.4,7.9,15.4,-14.6,-0.5000000000000004,0.8660254037844384,-0.7557495743542512,-0.6548607339452933,108.27424242424242,82.20648144170131,48.8,48.43041355872929,0.3695864412707053
1864,3,31,48.0,89.5,77.9,126.0,36.400000000000006,1.0,6.123233995736766e-17,0.28173255684143,-0.9594929736144971,91.34469696969695,61.45639093642244,125.9,122.08428968484843,3.815710315151577
1907,8,31,17.5,82.9,73.0,79.6,7.599999999999994,-0.8660254037844385,-0.5000000000000004,0.7557495743542566,-0.654860733945287,50.47727272727273,39.29824810288079,90.5,90.87187946791828,-0.3718794679182764
1867,10,31,17.1,18.7,8.4,13.9,6.800000000000001,-0.8660254037844386,0.5000000000000001,-0.989821441880932,-0.14231483827329,94.49242424242424,59.297948191544165,25.5,27.499556435814796,-1.999556435814796
2018,8,31,-6.4,1.6,15.1,32.6,7.1,-0.8660254037844385,-0.5000000000000004,0.2817325568414265,-0.9594929736144984,49.66363636363637,41.13451082204629,8.7,7.747327818203039,0.9526721817969603
1921,2,28,-45.9,52.5,93.0,89.8,-5.399999999999999,0.8660254037844386,0.5000000000000001,-0.7557495743542522,-0.6548607339452922,66.46515151515152,59.10967937791632,47.1,47.32037216528918,-0.22037216528917725
1952,2,29,-41.9,57.9,74.3,84.8,-25.5,0.8660254037844386,0.5000000000000001,0.2817325568414388,-0.9594929736144948,108.51742424242424,73.90717976486287,32.4,30.562276341530257,1.8377236584697414
1789,7,31,-60.0,200.0,255.0,235.8,-5.0,-0.4999999999999997,-0.8660254037844388,-0.7557495743542587,-0.6548607339452845,128.88636363636363,81.93972814985013,195.0,194.50516940669343,0.494830593306574
1785,10,31,65.5,53.3,13.2,13.3,25.40000000000001,-0.8660254037844386,0.5000000000000001,0.9898214418809328,-0.1423148382732854,97.88863636363637,86.12146016189216,78.7,86.23291208519467,-7.532912085194667
1980,10,31,97.9,219.6,135.4,263.6,13.700000000000015,-0.8660254037844386,0.5000000000000001,9.312267518612591e-15,1.0,98.04545454545456,71.32421766120311,233.3,225.03312516268412,8.266874837315896
